2014,Lexus IS 350 F Sport
2009,Mini John Cooper Works
2003,Volkswagen Golf R32
1984,Peugeot 205 Turbo 16
2009,Honda S2000 CR
1990,Mercedes-Benz 190E 2.5-16 Evolution II
2005,Dodge SRT4 ACR
1982,Lancia 037 Stradale
2010,Renault Megane RS 250
1967,Lamborghini Miura P400
2005,Lotus Elise 111S
2015,Audi S1
1987,Buick Regal GNX
2013,Ford Focus ST
1995,BMW M5
2014,Land Rover Range Rover Supercharged
2002,Pontiac Firebird Trans Am Ram Air
2009,Pontiac Solstice GXP
1995,BMW 850CSi
2012,Mini John Cooper Works GP
2009,Ford Focus RS
2006,Mitsubishi Lancer Evolution IX MR
1995,Ford SVT Cobra R
2003,Nissan Fairlady Z
1968,Ferrari 365 GTB/4
1957,Ferrari 250 Testa Rossa
1997,Mitsubishi GTO
2012,Infiniti IPL G Coupe
2012,Vauxhall Astra VXR
2013,Lexus GS350 F Sport
1981,BMW M1
2011,Volkswagen Scirocco R
1998,Subaru Impreza 22B STi
1995,Audi RS 2 Avant
2004,Audi S4
2011,Subaru WRX STI
2008,Subaru Impreza WRX STI
2010,Volkswagen Golf R
2014,Volkswagen Golf R
1997,Mazda RX-7
2011,Audi RS 3 Sportback
1983,Audi Sport quattro
1998,Toyota Supra RZ
2013,Hyundai Genesis Coupe 3.8 Track
2014,BMW M235i
2014,Jeep Grand Cherokee SRT
1965,Alfa Romeo Giulia TZ2
2002,Chevrolet Camaro 35th Anniversary Super Sport
1986,Lancia Delta S4
1997,Maserati Ghibli Cup
2011,BMW 1 Series M Coupe
1997,BMW M3
1956,Jaguar D-Type
2011,BMW X5 M
1997,Nissan Skyline GT-R V-Spec
1999,Mitsubishi Lancer Evolution VI GSR
2015,Volvo S60 Polestar
2011,HSV GTS
1957,Maserati 300 S
2008,Mitsubishi Lancer Evolution X GSR
2005,Subaru Impreza WRX STi
2004,Subaru Impreza WRX STi
2004,Mitsubishi Lancer Evolution VIII MR
1990,Vauxhall Lotus Carlton
2015,Subaru WRX STI
2015,Audi S3 Sedan
2012,Dodge Charger SRT8
2015,Jaguar XKR-S GT
2015,Jaguar F-Type R Coupé
2015,Jaguar XKR-S GT
