2012,Pagani Huayra
2014,Mercedes-Benz #84 HTP Motorsport SLS AMG GT3
2011,Mercedes-Benz #35 Black Falcon SLS AMG GT3
2014,Audi #45 Flying Lizard Motorsports R8 LMS ultra
2011,Koenigsegg Agera
2014,McLaren #98 Art Grand Prix 12C GT3
2014,McLaren #60 Bhaitech 12C GT3
2014,BMW #55 Team BMW Team RLL Z4 GTE
2014,BMW #56 Team BMW Team RLL Z4 GTE
2014,Chevrolet #3 Corvette Racing Corvette C7.R
2014,Lamborghini #14 GMG Racing LP 570-4 Super Trofeo
2014,Lamborghini #18 DragonSpeed Gallardo LP 570-4 Super Trofeo
2011,McLaren #59 McLaren GT 12C GT3
2009,Pagani Zonda Cinque Roadster
2014,Ferrari #62 Risi Competizione 458 Italia GTLM
2014,Ferrari #51 AF Corse 458 Italia GTE
2011,Ferrari #62 Risi Competizione 458 Italia GTC
2014,Bentley #7 M-Sport Bentley Continental GT3
2014,Dodge #93 SRT Motorsports Viper GTS-R
2013,SRT #91 SRT Motorsport GTS-R
2009,BMW #92 Rahal Letterman Racing M3 GT2
1969,Nissan #21 Nissan Racing R382
1966,Chaparral #66 Chaparral Cars 2E
1989,Audi #4 Audi 90 quattro IMSA GTO
2012,Hennessey Venom GT
1970,Datsun #33 Bob Sharp Racing 280ZX Turbo
1969,McLaren #4 McLaren Cars M8B
2012,Ultima GTR 720
1969,Lola #10 Simoniz Special T163
2013,Ariel Atom 500 V8
2006,Aston Martin #007 Aston Martin Racing DBR9
2011,Bugatti Veyron Super Sport
2013,McLaren P1
2013,Ferrari LaFerrari
2011,Radical SR8 RX
1976,Ferrari #1 Scuderia Ferrari 312 T2
1976,Lotus #5 Team Lotus 77
1976,McLaren #11 Team McLaren M23
