2012,Nissan GT-R Black Edition
1995,Ferrari F50
2009,Chevrolet Corvette ZR1
1993,Jaguar XJ220
2013,SRT Viper GTS
2007,Ferrari 430 Scuderia
2013,Audi R8 Coupé V10 plus 5.2 FSI quattro
1987,Ferrari F40
2010,Ferrari 599 GTO
2008,Lamborghini Reventón
2015,Chevrolet Corvette Z06
2012,Ferrari F12berlinetta
2008,Dodge Viper SRT10 ACR
2011,Lamborghini Gallardo LP 570-4 Superleggera
2014,Toyota #80 Speedworks Motorsport Avensis
2014,Toyota #20 United Autosports Avensis
2014,Toyota #11 Handy Motorsport Avensis
2011,McLaren 12C
2014,Mercedes-Benz #33 WIX Racing A-Class
2014,Honda #5 Zengo Motorsport Civic WTCC
2014,Honda #2 Castrol Honda Civic WTCC
1993,McLaren F1
2014,Audi #67 Rotek Racing S3 Saloon
2014,BMW #5 eBay Motors 125i M Sport
2010,Aston Martin One-77
2004,Maserati MC12
2004,Saleen S7
2010,Lamborghini Murciélago LP 670-4 SV
2015,Formula E #10 Trulli Spark SRT_01E
2015,Formula E #2 Virgin Racing VIR 01E
2015,Formula E #6 Dragon Racing Spark SRT_01E
2015,Formula E #9 e.dams-Renault Spark SRT_01E
2015,Formula E #11 ABT Spark FE 01
2015,Formula E #55 Amlin Aguri Spark SRT_01E
2015,Formula E #99 NEXTEV TCR FE01
2015,Formula E #27 Andretti Formula E Spark SRT_01E
2015,Formula E #21 Mahindra M2Electro
2015,Formula E #23 Venturi 1
1966,McLaren M2B
2012,Lamborghini Aventador LP700-4
2014,Volvo #13 Volvo Polestar Racing S60 STCC
2014,Volvo #1 Volvo Polestar Racing S60 STCC
1992,Bugatti EB110 Super Sport
2015,McLaren 650S Coupé
2014,Lamborghini Huracán LP 610-4
1998,Mercedes-Benz AMG Mercedes CLK GTR
1975,BMW #25 BMW Motorsport 3.0 CSL
1975,BMW #93 Hervé Poulain 3.0 CSL
1967,Eagle-Weslake T1G
2002,Ferrari Enzo Ferrari
2013,Ford Formula Ford EcoBoost 200
1967,Brabham BT24
1967,Lotus Type 49
1979,BMW #6 BMW Motorsport M1 Procar
2015,Ford #5 Pepsi Max Crew PRA Falcon FG X
2015,Ford #17 Xbox Racing Ford Falcon FG X
2015,Holden #22 Racing Team VF Commodore
2015,Holden #97 Tekno Autosports VF Commodore
2015,Holden #14 Freightliner Racing VF Commodore
2015,Holden #1 Reb Bull Racing Australia VF Commodore
2015,Mercedes-Benz #9 Erebus Motorsport E63 AMG V8 Supercar
2015,Mercedes-Benz #4 Erebus Motorsport E63 AMG V8 Supercar
2015,Nissan #23 Nissan Motorsport Altima
2015,Volvo #33 Wilson Security Racing GRM S60
2010,Noble M600
2017,Ford GT
1982,Ferrari #72 N.A.R.T. 512 BB/LM
1982,Ferrari #72 Ferrari France 512 BB/LM
1981,Ford #2 Zakspeed Racing Capri Turbo
1981,Ford #2 #55 Liqui Moly equipe Capri Turbo
1998,Nissan R390
